Gender,Age,Annual Income,Spending Score (1-100),age_group,income_spending_ratio,cluster,segment
0,27,60,50,young_adult,1.2,1,young_mainstream
1,48,61,42,middle_aged,1.4523809523809523,0,mature_mainsteram
1,20,61,49,young_adult,1.2448979591836735,1,young_mainstream
0,23,62,41,young_adult,1.5121951219512195,1,young_mainstream
0,49,62,48,middle_aged,1.2916666666666667,0,mature_mainsteram
1,67,62,59,senior,1.0508474576271187,0,mature_mainsteram
1,26,62,55,young_adult,1.1272727272727272,1,young_mainstream
1,49,62,56,middle_aged,1.1071428571428572,0,mature_mainsteram
0,21,62,42,young_adult,1.4761904761904763,1,young_mainstream
0,66,63,50,senior,1.26,0,mature_mainsteram
1,54,63,46,middle_aged,1.3695652173913044,0,mature_mainsteram
1,68,63,43,senior,1.4651162790697674,0,mature_mainsteram
1,66,63,48,senior,1.3125,0,mature_mainsteram
1,65,63,52,senior,1.2115384615384615,0,mature_mainsteram
0,19,63,54,young_adult,1.1666666666666667,1,young_mainstream
0,38,64,42,adult,1.5238095238095237,1,young_mainstream
1,19,64,46,young_adult,1.391304347826087,1,young_mainstream
0,18,65,48,teen,1.3541666666666667,1,young_mainstream
0,19,65,50,young_adult,1.3,1,young_mainstream
0,63,65,43,senior,1.5116279069767442,0,mature_mainsteram
0,49,65,59,middle_aged,1.1016949152542372,0,mature_mainsteram
0,51,67,43,middle_aged,1.558139534883721,0,mature_mainsteram
0,50,67,57,middle_aged,1.1754385964912282,0,mature_mainsteram
1,27,67,56,young_adult,1.1964285714285714,1,young_mainstream
0,38,67,40,adult,1.675,1,young_mainstream
0,40,69,58,adult,1.1896551724137931,1,young_mainstream
1,39,69,91,adult,0.7582417582417582,3,premium_customers
0,23,70,29,young_adult,2.413793103448276,1,young_mainstream
0,31,70,77,adult,0.9090909090909091,3,premium_customers
1,43,71,35,adult,2.0285714285714285,2,cautious_savers
1,40,71,95,adult,0.7473684210526316,3,premium_customers
1,59,71,11,middle_aged,6.454545454545454,2,cautious_savers
1,38,71,75,adult,0.9466666666666667,3,premium_customers
1,47,71,9,middle_aged,7.888888888888889,2,cautious_savers
1,39,71,75,adult,0.9466666666666667,3,premium_customers
0,25,72,34,young_adult,2.1176470588235294,1,young_mainstream
0,31,72,71,adult,1.0140845070422535,3,premium_customers
1,20,73,5,young_adult,14.6,2,cautious_savers
0,29,73,88,young_adult,0.8295454545454546,3,premium_customers
0,44,73,7,adult,10.428571428571429,2,cautious_savers
1,32,73,73,adult,1.0,3,premium_customers
1,19,74,10,young_adult,7.4,1,young_mainstream
0,35,74,72,adult,1.0277777777777777,3,premium_customers
0,57,75,5,middle_aged,15.0,2,cautious_savers
1,32,75,93,adult,0.8064516129032258,3,premium_customers
0,28,76,40,young_adult,1.9,1,young_mainstream
0,32,76,87,adult,0.8735632183908046,3,premium_customers
1,25,77,12,young_adult,6.416666666666667,2,cautious_savers
1,28,77,97,young_adult,0.7938144329896907,3,premium_customers
1,48,77,36,middle_aged,2.138888888888889,2,cautious_savers
0,32,77,74,adult,1.0405405405405406,3,premium_customers
0,34,78,22,adult,3.5454545454545454,2,cautious_savers
1,34,78,90,adult,0.8666666666666667,3,premium_customers
1,43,78,17,adult,4.588235294117647,2,cautious_savers
1,39,78,88,adult,0.8863636363636364,3,premium_customers
0,44,78,20,adult,3.9,2,cautious_savers
0,38,78,76,adult,1.0263157894736843,3,premium_customers
0,47,78,16,middle_aged,4.875,2,cautious_savers
0,27,78,89,young_adult,0.8764044943820225,3,premium_customers
1,37,78,1,adult,78.0,2,cautious_savers
0,30,78,78,young_adult,1.0,3,premium_customers
1,34,78,1,adult,78.0,2,cautious_savers
0,30,78,73,young_adult,1.0684931506849316,3,premium_customers
0,56,79,35,middle_aged,2.257142857142857,0,mature_mainsteram
0,29,79,83,young_adult,0.9518072289156626,3,premium_customers
1,19,81,5,young_adult,16.2,2,cautious_savers
0,31,81,93,adult,0.8709677419354839,3,premium_customers
1,50,85,26,middle_aged,3.269230769230769,2,cautious_savers
0,36,85,75,adult,1.1333333333333333,3,premium_customers
1,42,86,20,adult,4.3,2,cautious_savers
0,33,86,95,adult,0.9052631578947369,3,premium_customers
0,36,87,27,adult,3.2222222222222223,2,cautious_savers
1,32,87,63,adult,1.380952380952381,3,premium_customers
1,40,87,13,adult,6.6923076923076925,2,cautious_savers
1,28,87,75,young_adult,1.16,3,premium_customers
1,36,87,10,adult,8.7,2,cautious_savers
1,36,87,92,adult,0.9456521739130435,3,premium_customers
0,52,88,13,middle_aged,6.769230769230769,2,cautious_savers
0,30,88,86,young_adult,1.0232558139534884,3,premium_customers
1,58,88,15,middle_aged,5.866666666666666,2,cautious_savers
1,27,88,69,young_adult,1.2753623188405796,3,premium_customers
1,59,93,14,middle_aged,6.642857142857143,2,cautious_savers
1,35,93,90,adult,1.0333333333333334,3,premium_customers
0,37,97,32,adult,3.03125,2,cautious_savers
0,32,97,86,adult,1.127906976744186,3,premium_customers
1,46,98,15,middle_aged,6.533333333333333,2,cautious_savers
0,29,98,88,young_adult,1.1136363636363635,3,premium_customers
0,41,99,39,adult,2.5384615384615383,2,cautious_savers
1,30,99,97,young_adult,1.0206185567010309,3,premium_customers
0,54,101,24,middle_aged,4.208333333333333,2,cautious_savers
1,28,101,68,young_adult,1.4852941176470589,3,premium_customers
0,41,103,17,adult,6.0588235294117645,2,cautious_savers
0,36,103,85,adult,1.2117647058823529,3,premium_customers
0,34,103,23,adult,4.478260869565218,2,cautious_savers
0,32,103,69,adult,1.4927536231884058,3,premium_customers
1,33,113,8,adult,14.125,2,cautious_savers
0,38,113,91,adult,1.2417582417582418,3,premium_customers
0,47,120,16,middle_aged,7.5,2,cautious_savers
0,35,120,79,adult,1.518987341772152,3,premium_customers
0,45,126,28,adult,4.5,2,cautious_savers
1,32,126,74,adult,1.7027027027027026,3,premium_customers
1,32,137,18,adult,7.611111111111111,2,cautious_savers
1,30,137,83,young_adult,1.6506024096385543,3,premium_customers
